sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
eika_D	16596_2#77	2288036	3226STDY6100881	2015-03-05	2015-04-14	SAMEA103884944	HPSI0913i-eika_2 derived macrophage day 40 with salmonella and IFNg
pahc_A	16823_4#1	2306147	3226STDY6115636	2015-03-31	2015-05-06	SAMEA103885305	HPSI1213i-pahc_4 derived macrophage day 36 untreated
pahc_B	16823_4#2	2306148	3226STDY6115637	2015-03-31	2015-05-06	SAMEA103884913	HPSI1213i-pahc_4 derived macrophage day 36 with IFNg
pahc_C	16823_4#3	2306149	3226STDY6115638	2015-03-31	2015-05-06	SAMEA103885378	HPSI1213i-pahc_4 derived macrophage day 36 with salmonella
pahc_D	16823_4#4	2306150	3226STDY6115639	2015-03-31	2015-05-06	SAMEA103885010	HPSI1213i-pahc_4 derived macrophage day 36 with salmonella and IFNg
wibj_A	16823_4#5	2306151	3226STDY6115640	2015-03-30	2015-04-28	SAMEA103884887	HPSI0214i-wibj_2 derived macrophage day 29 untreated
wibj_B	16823_4#6	2306152	3226STDY6115641	2015-03-30	2015-04-28	SAMEA103885058	HPSI0214i-wibj_2 derived macrophage day 29 with IFNg
wibj_C	16823_4#7	2306153	3226STDY6115642	2015-03-30	2015-04-28	SAMEA103885107	HPSI0214i-wibj_2 derived macrophage day 29 with salmonella
wibj_D	16834_4#8	2306154	3226STDY6115643	2015-03-30	2015-04-28	SAMEA103885211	HPSI0214i-wibj_2 derived macrophage day 29 with salmonella and IFNg
xucm_A	16823_4#9	2306155	3226STDY6115644	2015-04-02	2015-05-13	SAMEA103885056	HPSI0613i-xucm_3 derived macrophage day 41 untreated
xucm_B	16823_4#10	2306156	3226STDY6115645	2015-04-02	2015-05-13	SAMEA103884901	HPSI0613i-xucm_3 derived macrophage day 41 with IFNg
xucm_C	16823_4#11	2306157	3226STDY6115646	2015-04-02	2015-05-13	SAMEA103885124	HPSI0613i-xucm_3 derived macrophage day 41 with salmonella
xucm_D	16823_4#12	2306158	3226STDY6115647	2015-04-02	2015-05-13	SAMEA103884962	HPSI0613i-xucm_3 derived macrophage day 41 with salmonella and IFNg
eojr_A	16823_4#17	2306163	3226STDY6115652	2015-03-30	2015-05-06	SAMEA103884955	HPSI0613i-eojr_3 derived macrophage day 37 untreated
eojr_B	16823_4#18	2306164	3226STDY6115653	2015-03-30	2015-05-06	SAMEA103885005	HPSI0613i-eojr_3 derived macrophage day 37 with IFNg
eojr_C	16823_4#19	2306165	3226STDY6115654	2015-03-30	2015-05-06	SAMEA103885260	HPSI0613i-eojr_3 derived macrophage day 37 with salmonella
eojr_D	16823_4#20	2306166	3226STDY6115655	2015-03-30	2015-05-06	SAMEA103885270	HPSI0613i-eojr_3 derived macrophage day 37 with salmonella and IFNg
sukz_A	16823_4#21	2306167	3226STDY6115656	2015-03-30	2015-05-06	SAMEA103885035	HPSI0413i-sukz_1 derived macrophage day 37 untreated
sukz_B	16823_4#22	2306168	3226STDY6115657	2015-03-30	2015-05-06	SAMEA103885167	HPSI0413i-sukz_1 derived macrophage day 37 with IFNg
sukz_C	16823_4#23	2306169	3226STDY6115658	2015-03-30	2015-05-06	SAMEA103885340	HPSI0413i-sukz_1 derived macrophage day 37 with salmonella
sukz_D	16823_6#24	2306170	3226STDY6115659	2015-03-30	2015-05-06	SAMEA103885003	HPSI0413i-sukz_1 derived macrophage day 37 with salmonella and IFNg
kolf_A	16823_4#25	2306171	3226STDY6115660	2015-03-31	2015-05-13	SAMEA103885310	HPSI0114i-kolf_3 derived macrophage day 43 untreated
