line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,ATAC,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,chemistry,status,comment
bezi_1,1,,26/05/2015,30,frozen,E8,15/06/2015,34,18/06/2015,,,,30/07/2015,10,12/08/2015,,,,,Stimulation_fail,
hiaf_2,1,,26/05/2015,26,frozen,E8,15/06/2015,31,18/06/2015,16/07/2015,22/07/2015,22/07/2015,21/07/2015,7,24/07/2015,16/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
kehc_2,1,,11/06/2015,28,frozen,E8,26/06/2015,32,29/06/2015,,,,05/08/2015,8,11/08/2015,,,,,FC_QC_fail,
kuxp_1,1,,26/05/2015,29,frozen,E8,18/06/2015,33,21/06/2015,16/07/2015,22/07/2015,22/07/2015,21/07/2015,6,24/07/2015,18/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
podx_1,1,,06/06/2015,32,frozen,E8,23/06/2015,36,26/06/2015,15/07/2015,22/07/2015,22/07/2015,21/07/2015,5,24/07/2015,14/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
rozh_5,1,,21/05/2015,31,frozen,E8,05/06/2015,35,08/06/2015,,,,21/07/2015,9,29/07/2015,,,,,FC_QC_fail,
xugn_1,1,,21/05/2015,23,frozen,E8,08/06/2015,27,11/06/2015,15/07/2015,22/07/2015,22/07/2015,21/07/2015,8,24/07/2015,18/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
nemb_1,1,,06/06/2015,49,frozen,E8,23/06/2015,44,26/06/2015,15/07/2015,22/07/2015,,27/07/2015,9,11/08/2015,26/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
pamv_3,1,,06/06/2015,34,frozen,E8,28/06/2015,38,01/07/2015,24/07/2015,31/07/2015,31/07/2015,27/07/2015,6,04/08/2015,16/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
oapg_5,1,,26/05/2015,31,frozen,E8,18/06/2015,36,21/06/2015,24/07/2015,31/07/2015,31/07/2015,27/07/2015,7,04/08/2015,18/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
eipl_1,1,,11/06/2015,34,frozen,E8,27/06/2015,38,30/06/2015,29/07/2015,04/08/2015,04/08/2015,30/07/2015,7,08/08/2015,14/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
febc_2,1,,06/06/2015,35,frozen,E8,03/07/2015,40,06/07/2015,29/07/2015,04/08/2015,04/08/2015,05/08/2015,6,08/08/2015,16/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
heja_1,1,,11/06/2015,32,frozen,E8,26/06/2015,36,29/06/2015,05/08/2015,12/08/2015,12/08/2015,13/08/2015,9,12/08/2015,14/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
pelm_3,1,,11/06/2015,30,frozen,E8,30/06/2015,34,03/07/2015,05/08/2015,12/08/2015,12/08/2015,13/08/2015,8,12/08/2015,26/08/2015,16/09/2015,3226_RNAauto-160915,V4_auto,Success,
dons_1,1,,11/06/2015,44,frozen,E8,30/06/2015,48,03/07/2025,,,,,7,11/08/2015,,,,,Diff_fail,
qony_1,1,,06/06/2015,30,frozen,E8,27/06/2015,34,30/06/2015,,,,,7,11/08/2015,,,,,Diff_fail,
lexy_1,1,,26/05/2015,30,frozen,E8,15/06/2015,34,18/06/2015,,,,30/07/2015,9,04/08/2015,,,,,FC_QC_fail,
qorq_1,1,,21/05/2015,28,frozen,E8,05/06/2015,32,08/06/2015,,,,,5,08/07/2015,,,,,Diff_fail,Infrequent MC.
suzg_3,1,,21/05/2015,26,frozen,E8,05/06/2015,30,08/06/2015,,,,,8,29/07/2015,,,,,Diff_fail,"Infrequent MC (first 2), suzq_3 -> susg_3 spelling corrected."
foop_1,1,,21/05/2015,25,frozen,E8,08/06/2015,29,11/06/2015,,,,,8,24/07/2015,,,,,Diff_fail,
hayt_1,1,,07/08/2015,42,frozen,E8,09/09/2015,48,12/09/2015,02/10/2015,09/10/2015,09/10/2015,16/10/2015,6,14/10/2015,,,,,,
oevr_3,1,,07/08/2015,35,frozen,E8,27/08/2015,39,30/08/2015,07/10/2015,14/10/2015,09/10/2015,16/10/2015,8,12/10/2015,,,,,,
fafq_1,1,,02/09/2015,27,frozen,E8,13/09/2015,31,16/09/2015,07/10/2015,14/10/2015,14/10/2015,16/10/2015,5,14/10/2015,06/11/2015,,,,Success,
sojd_3,1,,20/08/2015,23,frozen,E8,08/09/2015,27,11/09/2015,07/10/2015,14/10/2015,14/10/2015,20/10/2015,7,19/10/2015,,,,,,
iill_1,1,,09/09/2015,36,frozen,E8,24/09/2015,40,27/09/2015,28/10/2015,05/11/2015,05/11/2015,03/11/2015,7,05/11/2015,,,,,,
nukw_1,1,,06/09/2015,43,frozen,E8,20/09/2015,47,23/09/2015,28/10/2015,05/11/2015,27/10/2015,03/11/2015,7,05/11/2015,,,,,,
uaqe_1,1,,09/09/2015,20,frozen,E8,28/09/2015,24,01/10/2015,,,27/10/2015,,7,06/11/2015,,,,,,
kucg_2,1,,25/08/2015,29,frozen,E8,18/09/2015,33,21/09/2015,,,,28/10/2015,8,02/11/2015,,,,,FC_QC_fail,E8 cells thawn directly on MEFs.
coyi_3,1,,09/09/2015,44,frozen,E8,27/09/2015,48,30/09/2015,28/10/2015,05/11/2015,05/11/2015,03/11/2015,7,06/11/2015,,,,,,
fikt_3,1,,14/09/2015,37,frozen,E8,30/09/2015,41,03/10/2015,28/10/2015,05/11/2015,05/11/2015,03/11/2015,5,28/10/2015,,,,,,
vabj_3,1,,14/09/2015,28,frozen,E8,30/09/2015,32,03/10/2015,,,,03/11/2015,,,,,,,,
qolg_3,1,,14/09/2015,40,frozen,E8,07/10/2015,44,10/10/2015,30/10/2015,05/11/2015,,,,,06/11/2015,,,,Success,
hehd_2,1,,02/09/2015,36,frozen,E8,27/09/2015,41,30/09/2015,28/10/2015,05/11/2015,05/11/2015,,,,06/11/2015,,,,Success,
bipt_1,1,,25/08/2015,25,frozen,E8,19/09/2015,29,22/09/2015,,,,,9,06/11/2015,,,,,Diff_fail,E8 cells thawn directly on MEFs.
uofv_1,1,,20/08/2015,47,frozen,E8,19/09/2015,52,22/09/2015,,,,,8,05/11/2015,,,,,Diff_fail,
qonc_2,1,,20/08/2015,27,frozen,E8,20/09/2015,33,23/09/2015,,,,,7,02/11/2015,,,,,Diff_fail,
